"","Origin Station Name"
"182420","Reedham"
"182657","Richmond"
"183282","Rickmansworth"
"183756","Riddlesdown"
"184004","Roding Valley"
"184282","Romford"
"184869","Rotherhithe"
"185393","Royal Albert"
"185895","Royal Oak"
"186451","Royal Victoria"
"186989","Ruislip"
"187416","Ruislip Gardens"
"187782","Ruislip Manor"
"188194","Russell Square"
"188810","Sanderstead"
"189216","Selhurst"
"189720","Seven Kings"
"190264","Seven Sisters"
"190881","Shenfield"
"191358","Shoreditch High Street"
"191953","Shortlands"
"192365","Sidcup"
"192884","Silver Street"
"193404","Slade Green"
"193831","Sloane Square"
"194454","Snaresbrook"
"194951","South Acton"
"195341","South Bermondsey"
"195804","South Croydon"
"196259","South Ealing"
"196774","South Greenford"
"196875","South Hampstead"
"197088","South Harrow"
"197504","South Kensington"
"198138","South Kenton"
"198475","South Merton"
"198665","South Quay"
"199243","South Ruislip"
"199690","South Tottenham"
"199916","South Wimbledon"
"200426","South Woodford"
"200965","Southall"
"201496","Southbury"
"201968","Southfields"
"202534","Southgate"
"203102","Southwark"
"203722","St James Street"
"204090","St. James's Park"
"204714","Stamford Brook"
"205256","Stamford Hill"
"205566","Stanmore"
"206086","Star Lane"
"206592","Stepney Green"
"207203","Stockwell"
"207805","Stoke Newington"
"208267","Stonebridge Park"
"208785","Stoneleigh"
"209179","Stratford"
"209815","Stratford High Street"
"210175","Strawberry Hill"
"210652","Streatham"
"211179","Streatham Common"
"211745","Streatham Hill"
"212247","Sudbury Hill"
"212671","Sudbury Hill Harrow"
"212791","Sudbury Town"
"213157","Sundridge Park"
"213399","Surbiton"
"214003","Surrey Quays"
"214626","Sutton Common"
"214892","Swiss Cottage"
"215498","Sydenham"
"216060","Sydenham Hill"
"216431","Syon Lane"
"216880","Tadworth"
"217132","Tattenham Corner"
"217358","Teddington"
"217875","Temple"
"218489","Thames Ditton"
"218860","Theobalds Grove"
"219229","Theydon Bois"
"219607","Thornton Heath"
"220157","Tolworth"
"220577","Tooting"
"220934","Tooting Bec"
"221519","Tooting Broadway"
"222123","Tottenham Court Road"
"222756","Tower Gateway"
"223081","Tower Hill"
"223706","Tufnell Park"
"224273","Tulse Hill"
"224778","Turkey Street"
"225217","Turnham Green"
"225797","Turnpike Lane"
"226388","Twickenham"
"226977","Upminster"
"227501","Upminster Bridge"
